
"CenterPos","recipient sister","donor"
"4081","1.00","0.86"
"4101","0.99","0.86"
"4121","0.99","0.86"
"4141","0.99","0.87"
"4161","0.98","0.88"
"4181","0.98","0.86"
"4201","0.97","0.87"
"4221","0.97","0.88"
"4241","0.97","0.89"
"4261","0.97","0.91"
"4281","0.97","0.90"
"4301","0.97","0.90"
"4321","0.97","0.90"
"4341","0.96","0.90"
"4361","0.96","0.90"
"4381","0.96","0.93"
"4401","0.96","0.92"
"4421","0.95","0.92"
"4441","0.96","0.92"
"4461","0.96","0.92"
"4481","0.96","0.93"
"4501","0.96","0.93"
"4521","0.96","0.93"
"4541","0.96","0.92"
"4561","0.97","0.92"
"4581","0.97","0.92"
"4601","0.97","0.93"
"4621","0.98","0.92"
"4641","0.98","0.92"
"4661","0.98","0.90"
"4681","0.98","0.89"
"4701","0.99","0.91"
"4721","0.98","0.89"
"4741","0.99","0.90"
"4761","0.99","0.90"
"4781","0.98","0.88"
"4801","0.98","0.86"
"4821","0.98","0.86"
"4841","0.98","0.85"
"4861","0.98","0.84"
"4881","0.98","0.86"
"4901","0.97","0.86"
"4921","0.98","0.88"
"4941","0.97","0.87"
"4961","0.97","0.87"
"4981","0.97","0.89"
"5001","0.98","0.92"
"5021","0.98","0.91"
"5041","0.98","0.93"
"5061","0.97","0.94"
"5081","0.97","0.94"
"5101","0.98","0.93"
"5121","0.98","0.93"
"5141","0.98","0.93"
"5161","0.98","0.93"
"5181","0.98","0.93"
"5201","0.97","0.91"
"5221","0.98","0.92"
"5241","0.98","0.92"
"5261","0.98","0.91"
"5281","0.98","0.91"
"5301","0.98","0.92"
"5321","0.98","0.92"
"5341","0.98","0.92"
"5361","0.98","0.93"
"5381","0.98","0.92"
"5401","0.98","0.94"
"5421","0.97","0.94"
"5441","0.97","0.93"
"5461","0.97","0.93"
"5481","0.98","0.93"
"5501","0.98","0.92"
"5521","0.98","0.92"
"5541","0.98","0.93"
"5561","0.98","0.92"
"5581","0.98","0.93"
"5601","0.99","0.92"
"5621","0.99","0.93"
"5641","0.99","0.93"
"5661","0.99","0.94"
"5681","0.99","0.94"
"5701","0.99","0.94"
"5721","0.98","0.94"
"5741","0.97","0.93"
"5761","0.97","0.93"
"5781","0.98","0.94"
"5801","0.98","0.95"
"5821","0.98","0.94"
"5841","0.98","0.94"
"5861","0.98","0.94"
"5881","0.98","0.94"
"5901","0.98","0.94"
"5921","0.99","0.94"
"5941","1.00","0.95"
"5961","1.00","0.95"
"5981","1.00","0.95"
"6001","1.00","0.94"
"6021","0.99","0.95"
"6041","0.99","0.95"
"6061","0.99","0.95"
"6081","0.99","0.95"
"6101","0.99","0.96"
"6121","0.99","0.97"
"6141","0.99","0.96"
"6161","0.99","0.96"
"6181","0.99","0.96"
"6201","0.99","0.97"
"6221","0.99","0.96"
"6241","0.99","0.96"
"6261","0.99","0.95"
"6281","0.99","0.95"
"6301","0.99","0.96"
"6321","0.99","0.96"
"6341","0.99","0.96"
"6361","0.99","0.96"
"6381","0.99","0.96"
"6401","0.99","0.95"
"6421","0.99","0.95"
"6441","0.99","0.95"
"6461","0.99","0.93"
"6481","0.99","0.93"
"6501","0.99","0.92"
"6521","0.99","0.92"
"6541","0.99","0.91"
"6561","0.98","0.89"
"6581","0.98","0.88"
"6601","0.97","0.86"
"6621","0.97","0.86"
"6641","0.98","0.85"
"6661","0.98","0.87"
"6681","0.98","0.86"
"6701","0.97","0.86"
"6721","0.97","0.85"
"6741","0.97","0.86"
"6761","0.96","0.86"
"6781","0.97","0.88"
"6801","0.97","0.89"
"6821","0.97","0.89"
"6841","0.97","0.89"
"6861","0.97","0.89"
"6881","0.97","0.87"
"6901","0.97","0.87"
"6921","0.98","0.87"
"6941","0.98","0.87"
"6961","0.99","0.89"
"6981","0.99","0.88"
"7001","0.99","0.89"
"7021","0.99","0.90"
"7041","0.99","0.90"
"7061","0.99","0.88"
"7081","0.99","0.89"
"7101","0.99","0.89"
"7121","0.99","0.90"
"7141","0.99","0.91"
"7161","0.99","0.90"
"7181","0.99","0.90"
"7201","0.99","0.91"
"7221","0.99","0.90"
"7241","1.00","0.91"
"7261","1.00","0.94"
"7281","0.99","0.95"
"7301","0.99","0.94"
"7321","0.99","0.94"
"7341","0.99","0.93"
"7361","0.99","0.93"
"7381","0.99","0.93"
"7401","0.99","0.93"
"7421","0.99","0.94"
"7441","0.99","0.94"
"7461","0.99","0.95"
"7481","1.00","0.94"
"7501","1.00","0.93"
"7521","1.00","0.94"
"7541","1.00","0.94"
"7561","1.00","0.94"
"7581","1.00","0.94"
"7601","0.99","0.93"
"7621","0.99","0.92"
"7641","0.99","0.92"
"7661","0.99","0.90"
"7681","0.99","0.92"
"7701","0.99","0.93"
"7721","0.99","0.93"
"7741","0.99","0.93"
"7761","0.99","0.93"
"7781","0.99","0.91"
"7801","0.99","0.91"
"7821","0.99","0.91"
"7841","0.99","0.89"
"7861","0.99","0.90"
"7881","0.99","0.90"
"7901","0.99","0.89"
"7921","0.99","0.88"
"7941","0.98","0.87"
"7961","0.98","0.89"
"7981","0.98","0.90"
"8001","0.97","0.90"
"8021","0.96","0.90"
"8041","0.96","0.93"
"8061","0.95","0.93"
"8081","0.95","0.93"
"8101","0.95","0.93"
"8121","0.95","0.94"
"8141","0.96","0.94"
"8161","0.96","0.94"
"8181","0.96","0.95"
"8201","0.97","0.96"
"8221","0.98","0.96"
"8241","0.99","0.96"
"8261","1.00","0.96"
"8281","1.00","0.95"
"8301","1.00","0.96"
"8321","0.99","0.95"
"8341","0.99","0.95"
"8361","0.99","0.95"
"8381","0.99","0.94"
"8401","0.99","0.92"
"8421","0.99","0.91"
"8441","0.99","0.89"
"8461","0.99","0.90"
"8481","0.99","0.89"
"8501","0.99","0.89"
"8521","0.99","0.89"
"8541","0.98","0.90"
"8561","0.98","0.89"
"8581","0.98","0.88"
"8601","0.98","0.90"
"8621","0.98","0.90"
"8641","0.98","0.92"
"8661","0.99","0.90"
"8681","0.99","0.92"
"8701","0.99","0.91"
"8721","0.99","0.90"
"8741","1.00","0.89"
"8761","1.00","0.90"
"8781","1.00","0.92"
"8801","1.00","0.92"
"8821","1.00","0.93"
"8841","1.00","0.94"
"8861","1.00","0.95"
"8881","1.00","0.96"
"8901","0.99","0.97"
"8921","0.99","0.98"
"8941","0.99","0.99"
"8961","0.99","0.99"
"8981","0.99","0.99"
"9001","0.99","1.00"
"9021","0.99","1.00"
"9041","0.99","1.00"
"9061","0.98","0.99"
"9081","0.97","0.98"
"9101","0.98","0.97"
"9121","0.98","0.97"
"9141","0.97","0.95"
"9161","0.97","0.94"
"9181","0.97","0.93"
"9201","0.97","0.92"
"9221","0.97","0.91"
"9241","0.98","0.91"
"9261","0.98","0.93"
"9281","0.99","0.94"
"9301","0.99","0.95"
"9321","0.99","0.95"
"9341","0.99","0.96"
"9361","0.99","0.97"
"9381","0.99","0.98"
"9401","0.98","0.98"
"9421","0.98","0.98"
"9441","0.98","0.97"
"9461","0.98","0.96"
"9481","0.98","0.96"
"9501","0.97","0.95"
"9521","0.97","0.95"
"9541","0.98","0.95"
"9561","0.98","0.95"
"9581","0.98","0.95"
"9601","0.99","0.96"
"9621","0.99","0.97"
"9641","0.99","0.96"
"9661","0.99","0.97"
"9681","0.99","0.97"
"9701","1.00","0.98"
"9721","1.00","0.97"
"9741","1.00","0.97"
"9761","0.99","0.96"
"9781","0.99","0.95"
"9801","0.99","0.95"
"9821","0.99","0.94"
"9841","0.99","0.94"
"9861","0.99","0.94"
"9881","0.99","0.94"
"9901","0.98","0.93"
"9921","0.98","0.93"
"9941","0.98","0.94"
"9961","0.99","0.94"
"9981","0.99","0.95"
"10001","0.99","0.96"
"10021","0.99","0.96"
"10041","0.99","0.97"
"10061","0.98","0.98"
"10081","0.98","0.98"
"10101","0.99","0.97"
"10121","0.99","0.96"
"10141","0.99","0.95"
"10161","0.99","0.95"
"10181","0.98","0.95"
"10201","0.98","0.95"
"10221","0.98","0.94"
"10241","0.99","0.92"
"10261","0.99","0.92"
"10281","0.99","0.92"
"10301","0.99","0.91"
"10321","0.99","0.91"
"10341","0.99","0.92"
"10361","0.99","0.91"
"10381","1.00","0.89"
"10401","1.00","0.89"
"10421","1.00","0.90"
"10441","1.00","0.92"
"10461","1.00","0.92"
"10481","1.00","0.92"
"10501","1.00","0.93"
"10521","1.00","0.93"
"10541","1.00","0.93"
"10561","1.00","0.91"
"10581","1.00","0.91"
"10601","1.00","0.89"
"10621","1.00","0.88"
"10641","1.00","0.88"
"10661","1.00","0.89"
"10681","0.99","0.89"
"10701","0.99","0.89"
"10721","0.99","0.89"
"10741","0.99","0.89"
"10761","0.99","0.91"
"10781","0.99","0.93"
"10801","0.99","0.94"
"10821","0.99","0.95"
"10841","0.99","0.94"
"10861","0.99","0.94"
"10881","1.00","0.94"
"10901","1.00","0.94"
"10921","0.99","0.95"
"10941","0.99","0.95"
"10961","0.99","0.95"
"10981","0.99","0.95"
"11001","0.99","0.95"
"11021","0.99","0.96"
"11041","0.99","0.97"
"11061","0.99","0.97"
"11081","0.99","0.98"
"11101","0.99","0.98"
"11121","1.00","0.97"
"11141","1.00","0.97"
"11161","1.00","0.97"
"11181","1.00","0.98"
"11201","1.00","0.98"
"11221","1.00","0.98"
"11241","1.00","0.97"
"11261","1.00","0.97"
"11281","1.00","0.97"
"11301","1.00","0.98"
"11321","1.00","0.98"
"11341","1.00","0.98"
"11361","0.99","0.98"
"11381","0.99","0.98"
"11401","0.99","0.98"
"11421","0.99","0.98"
"11441","0.99","0.98"
"11461","0.99","0.99"
"11481","0.98","0.98"
"11501","0.98","0.98"
"11521","0.98","0.97"
"11541","0.98","0.98"
"11561","0.98","0.98"
"11581","0.98","0.97"
"11601","0.98","0.97"
"11621","0.98","0.97"
"11641","0.99","0.97"
"11661","0.99","0.97"
"11681","0.99","0.97"
"11701","1.00","0.97"
"11721","1.00","0.97"
"11741","1.00","0.97"
"11761","1.00","0.97"
"11781","1.00","0.97"
"11801","1.00","0.98"
"11821","1.00","0.98"
"11841","1.00","0.98"
"11861","0.99","0.96"
"11881","0.98","0.96"
"11901","0.98","0.96"
"11921","0.98","0.96"
"11941","0.98","0.96"
"11961","0.98","0.96"
"11981","0.97","0.96"
"12001","0.97","0.96"
"12021","0.97","0.96"
"12041","0.97","0.96"
"12061","0.97","0.97"
"12081","0.98","0.98"
"12101","0.99","0.97"
"12121","0.99","0.98"
"12141","0.99","0.98"
"12161","0.99","0.98"
"12181","1.00","0.98"
"12201","1.00","0.98"
"12221","1.00","0.98"
"12241","1.00","0.98"
"12261","1.00","0.98"
"12281","1.00","0.98"
"12301","1.00","0.98"
"12321","1.00","0.98"
"12341","1.00","0.98"
"12361","1.00","0.98"
"12381","0.99","0.98"
"12401","0.97","0.96"
"12421","0.97","0.96"
"12441","0.97","0.96"
"12461","0.96","0.96"
"12481","0.96","0.97"
"12501","0.95","0.96"
"12521","0.95","0.97"
"12541","0.95","0.97"
"12561","0.94","0.97"
"12581","0.95","0.96"
"12601","0.97","0.98"
"12621","0.97","0.98"
"12641","0.97","0.97"
"12661","0.97","0.97"
"12681","0.98","0.96"
"12701","0.98","0.97"
"12721","0.98","0.97"
"12741","0.99","0.96"
"12761","0.99","0.96"
"12781","0.99","0.97"
"12801","0.99","0.97"
"12821","0.98","0.96"
"12841","0.98","0.97"
"12861","0.99","0.98"
"12881","0.99","0.98"
"12901","0.99","0.98"
"12921","0.98","0.97"
"12941","0.97","0.98"
"12961","0.97","0.98"
"12981","0.97","0.98"
"13001","0.97","0.98"
"13021","0.96","0.99"
"13041","0.96","0.99"
"13061","0.96","0.98"
"13081","0.96","0.98"
"13101","0.95","0.98"
"13121","0.96","0.99"
"13141","0.96","0.98"
"13161","0.96","0.98"
"13181","0.96","0.98"
"13201","0.96","0.97"
"13221","0.97","0.96"
"13241","0.97","0.96"
"13261","0.98","0.97"
"13281","0.98","0.97"
"13301","0.98","0.96"
"13321","0.98","0.96"
"13341","0.99","0.97"
"13361","0.99","0.97"
"13381","0.98","0.97"
"13401","0.99","0.98"
"13421","0.99","0.98"
"13441","0.99","0.98"
"13461","0.98","0.98"
"13481","0.98","0.98"
"13501","0.99","0.99"
"13521","0.98","0.98"
"13541","0.98","0.98"
"13561","0.98","0.98"
"13581","0.99","0.98"
"13601","0.99","0.98"
"13621","0.99","0.98"
"13641","0.99","0.99"
"13661","0.99","0.99"
"13681","0.99","0.99"
"13701","0.99","0.98"
"13721","0.99","0.98"
"13741","0.99","0.98"
"13761","0.99","0.98"
"13781","0.99","0.99"
"13801","0.98","0.99"
"13821","0.98","0.99"
"13841","0.98","0.99"
"13861","0.98","0.99"
"13881","0.98","0.98"
"13901","0.98","0.99"
"13921","0.99","0.99"
"13941","0.98","0.98"
"13961","0.98","0.98"
"13981","0.99","0.98"
"14001","0.99","0.98"
"14021","0.99","0.98"
"14041","0.99","0.98"
"14061","0.99","0.98"
"14081","0.99","0.99"
"14101","0.99","0.99"
"14121","0.99","0.98"
"14141","0.99","0.98"
"14161","0.99","0.99"
"14181","0.98","0.98"
"14201","0.98","0.98"
"14221","0.98","0.98"
"14241","0.98","0.98"
"14261","0.98","0.98"
"14281","0.98","0.98"
"14301","0.98","0.98"
"14321","0.99","0.98"
"14341","0.99","0.99"
"14361","0.99","0.99"
"14381","1.00","0.99"
"14401","1.00","1.00"
"14421","1.00","0.99"
"14441","1.00","0.99"
"14461","0.99","0.98"
"14481","0.99","0.98"
"14501","0.99","0.98"
"14521","0.99","0.98"
"14541","0.99","0.97"
"14561","0.99","0.97"
"14581","0.98","0.97"
"14601","0.97","0.97"
"14621","0.97","0.98"
"14641","0.97","0.98"
"14661","0.98","0.98"
"14681","0.98","0.98"
"14701","0.98","0.98"
"14721","0.98","0.98"
"14741","0.98","0.98"
"14761","0.98","0.98"
"14781","0.99","0.98"
"14801","0.99","0.98"
"14821","0.99","0.98"
"14841","0.99","0.98"
"14861","0.99","0.98"
"14881","0.99","0.98"
"14901","0.99","0.97"
"14921","0.99","0.97"
"14941","0.99","0.98"
"14961","0.99","0.98"
"14981","0.99","0.98"
"15001","0.99","0.98"
"15021","0.99","0.98"
"15041","0.99","0.98"
"15061","0.99","0.98"
"15081","1.00","0.98"
"15101","1.00","0.98"
"15121","1.00","0.98"
"15141","1.00","0.98"
"15161","1.00","0.99"
"15181","1.00","0.99"
"15201","1.00","0.99"
"15221","1.00","0.99"
"15241","0.99","0.98"
"15261","0.99","0.98"
"15281","0.99","0.98"
"15301","0.99","0.98"
"15321","0.99","0.98"
"15341","0.99","0.97"
"15361","0.99","0.97"
"15381","0.99","0.97"
"15401","0.99","0.97"
"15421","0.99","0.96"
"15441","0.99","0.96"
"15461","0.99","0.97"
"15481","0.99","0.97"
"15501","0.99","0.97"
"15521","0.98","0.97"
"15541","0.98","0.97"
"15561","0.98","0.97"
"15581","0.98","0.96"
"15601","0.97","0.96"
"15621","0.98","0.97"
"15641","0.98","0.97"
"15661","0.98","0.97"
"15681","0.97","0.97"
"15701","0.98","0.97"
"15721","0.98","0.97"
"15741","0.98","0.97"
"15761","0.98","0.97"
"15781","0.98","0.96"
"15801","0.98","0.97"
"15821","0.98","0.96"
"15841","0.98","0.96"
"15861","0.98","0.96"
"15881","0.99","0.96"
"15901","0.99","0.95"
"15921","0.99","0.94"
"15941","0.99","0.94"
"15961","0.99","0.95"
"15981","1.00","0.96"
"16001","1.00","0.96"
"16021","0.99","0.96"
"16041","0.99","0.96"
"16061","0.99","0.96"
"16081","0.99","0.96"
"16101","0.99","0.97"
"16121","0.99","0.97"
"16141","0.98","0.98"
"16161","0.98","0.97"
"16181","0.97","0.96"
"16201","0.97","0.96"
"16221","0.98","0.96"
"16241","0.98","0.95"
"16261","0.98","0.95"
"16281","0.98","0.95"
"16301","0.98","0.94"
"16321","0.98","0.95"
"16341","0.99","0.94"
"16361","0.99","0.95"
"16381","1.00","0.96"
"16401","1.00","0.96"
"16421","1.00","0.96"
"16441","1.00","0.97"
"16461","0.99","0.97"
"16481","0.99","0.96"
"16501","0.98","0.97"
"16521","0.98","0.97"
"16541","0.98","0.97"
"16561","0.98","0.97"
"16581","0.98","0.98"
"16601","0.98","0.98"
"16621","0.98","0.97"
"16641","0.98","0.97"
"16661","0.99","0.98"
"16681","0.99","0.99"
"16701","0.98","0.99"
"16721","0.98","0.99"
"16741","0.97","0.99"
"16761","0.97","0.99"
"16781","0.97","0.99"
"16801","0.96","0.99"
"16821","0.96","1.00"
"16841","0.96","1.00"
"16861","0.96","0.99"
"16881","0.96","0.99"
"16901","0.97","0.99"
"16921","0.97","0.99"
"16941","0.97","0.99"
"16961","0.97","0.99"
"16981","0.97","0.98"
"17001","0.97","0.97"
"17021","0.97","0.97"
"17041","0.97","0.96"
"17061","0.97","0.96"
"17081","0.96","0.96"
"17101","0.96","0.96"
"17121","0.96","0.96"
"17141","0.97","0.96"
"17161","0.97","0.96"
"17181","0.97","0.97"
"17201","0.96","0.97"
"17221","0.96","0.97"
"17241","0.95","0.97"
"17261","0.95","0.97"
"17281","0.95","0.97"
"17301","0.94","0.97"
"17321","0.92","0.97"
"17341","0.92","0.96"
"17361","0.92","0.96"
"17381","0.92","0.96"
"17401","0.93","0.96"
"17421","0.94","0.97"
"17441","0.95","0.97"
"17461","0.95","0.97"
"17481","0.95","0.95"
"17501","0.96","0.96"
"17521","0.97","0.97"
"17541","0.98","0.97"
"17561","0.97","0.97"
"17581","0.97","0.97"
"17601","0.97","0.97"
"17621","0.97","0.97"
"17641","0.96","0.97"
"17661","0.96","0.98"
"17681","0.98","0.99"
"17701","0.96","0.99"
"17721","0.97","0.99"
"17741","0.97","1.00"
"17761","0.96","0.99"
"17781","0.95","0.99"
"17801","0.96","0.99"
"17821","0.95","0.99"
"17841","0.95","0.99"
"17861","0.95","0.98"
"17881","0.95","0.98"
"17901","0.96","0.98"
"17921","0.96","0.98"
"17941","0.96","0.98"
"17961","0.98","0.98"
"17981","0.98","0.98"
"18001","0.98","0.97"
"18021","0.98","0.97"
"18041","0.98","0.96"
"18061","0.98","0.97"
"18081","0.99","0.97"
"18101","0.99","0.97"
"18121","0.99","0.97"
"18141","0.99","0.96"
"18161","0.98","0.95"
"18181","0.98","0.95"
"18201","0.98","0.95"
"18221","0.98","0.95"
"18241","0.99","0.96"
"18261","0.99","0.96"
"18281","0.99","0.96"
"18301","0.99","0.96"
"18321","0.99","0.94"
"18341","0.99","0.96"
"18361","0.99","0.94"
"18381","0.99","0.94"
"18401","1.00","0.95"
"18421","1.00","0.95"
"18441","1.00","0.94"
"18461","1.00","0.94"
"18481","1.00","0.95"
"18501","1.00","0.95"
"18521","0.99","0.96"
"18541","0.98","0.95"
"18561","0.97","0.96"
"18581","0.97","0.96"
"18601","0.97","0.96"
"18621","0.97","0.95"
"18641","0.97","0.96"
"18661","0.97","0.96"
"18681","0.97","0.95"
"18701","0.96","0.95"
"18721","0.97","0.95"
"18741","0.97","0.95"
"18761","0.97","0.96"
"18781","0.97","0.97"
"18801","0.97","0.96"
"18821","0.97","0.97"
"18841","0.96","0.96"
"18861","0.96","0.96"
"18881","0.96","0.96"
"18901","0.96","0.96"
"18921","0.96","0.96"
"18941","0.96","0.96"
"18961","0.97","0.95"
"18981","0.97","0.95"
"19001","0.97","0.95"
"19021","0.97","0.96"
"19041","0.98","0.96"
"19061","0.97","0.96"
"19081","0.98","0.96"
"19101","0.98","0.96"
"19121","0.98","0.96"
"19141","0.98","0.96"
"19161","0.98","0.95"
"19181","0.98","0.95"
"19201","0.97","0.95"
"19221","0.97","0.94"
"19241","0.97","0.94"
"19261","0.98","0.95"
"19281","0.97","0.95"
"19301","0.96","0.95"
"19321","0.96","0.94"
"19341","0.97","0.94"
"19361","0.97","0.95"
"19381","0.96","0.95"
"19401","0.96","0.95"
"19421","0.96","0.95"
"19441","0.95","0.94"
"19461","0.95","0.93"
"19481","0.95","0.93"
"19501","0.95","0.93"
"19521","0.94","0.93"
"19541","0.94","0.93"
"19561","0.94","0.93"
"19581","0.95","0.93"
"19601","0.94","0.92"
"19621","0.94","0.92"
"19641","0.95","0.93"
"19661","0.95","0.94"
"19681","0.96","0.93"
"19701","0.95","0.93"
"19721","0.95","0.93"
"19741","0.94","0.91"
"19761","0.94","0.89"
"19781","0.95","0.91"
"19801","0.96","0.92"
"19821","0.96","0.90"
"19841","0.96","0.90"
"19861","0.95","0.89"
"19881","0.95","0.89"
"19901","0.96","0.91"
"19921","0.97","0.91"
"19941","0.97","0.90"
"19961","0.97","0.92"
"19981","0.97","0.92"
"20001","0.97","0.92"
"20021","0.96","0.93"
"20041","0.96","0.93"
"20061","0.95","0.93"
"20081","0.95","0.94"
"20101","0.95","0.94"
"20121","0.95","0.95"
"20141","0.95","0.97"
"20161","0.95","0.96"
"20181","0.95","0.96"
"20201","0.95","0.96"
"20221","0.95","0.97"
"20241","0.95","0.97"
"20261","0.96","0.97"
"20281","0.97","0.98"
"20301","0.97","0.98"
"20321","0.96","0.98"
"20341","0.97","0.97"
"20361","0.95","0.96"
"20381","0.95","0.97"
"20401","0.95","0.97"
"20421","0.96","0.97"
"20441","0.96","0.97"
"20461","0.96","0.97"
"20481","0.96","0.97"
"20501","0.96","0.97"
"20521","0.96","0.96"
"20541","0.95","0.97"
"20561","0.97","0.97"
"20581","0.97","0.97"
"20601","0.97","0.97"
"20621","0.97","0.97"
"20641","0.97","0.97"
"20661","0.97","0.96"
"20681","0.97","0.96"
"20701","0.97","0.95"
"20721","0.97","0.96"
"20741","0.98","0.96"
"20761","0.99","0.96"
"20781","0.99","0.96"
"20801","0.99","0.95"
"20821","0.98","0.96"
"20841","0.98","0.95"
"20861","0.97","0.96"
"20881","0.97","0.96"
"20901","0.96","0.96"
"20921","0.95","0.95"
"20941","0.95","0.96"
"20961","0.95","0.96"
"20981","0.95","0.96"
"21001","0.94","0.95"
"21021","0.94","0.95"
"21041","0.94","0.95"
"21061","0.95","0.95"
"21081","0.95","0.95"
"21101","0.95","0.96"
"21121","0.95","0.97"
"21141","0.94","0.96"
"21161","0.93","0.97"
"21181","0.92","0.97"
"21201","0.92","0.98"
"21221","0.92","0.99"
"21241","0.92","0.99"
"21261","0.90","0.99"
"21281","0.88","0.98"
"21301","0.89","0.98"
"21321","0.87","0.98"
"21341","0.88","0.98"
"21361","0.89","0.98"
"21381","0.87","0.98"
"21401","0.88","0.98"
"21421","0.88","0.98"
"21441","0.83","0.98"
"21461","0.83","0.98"
"21481","0.78","0.99"
"21501","0.72","0.99"
"21521","0.64","0.99"
"21541","0.59","0.99"
"21561","0.56","0.99"
"21581","0.49","0.99"
"21601","0.39","0.98"
"21621","0.29","0.98"
