
"CenterPos","n40","Pangolins"
"2881","0.73","0.76"
"2901","0.72","0.73"
"2921","0.72","0.73"
"2941","0.70","0.73"
"2961","0.71","0.72"
"2981","0.72","0.75"
"3001","0.70","0.74"
"3021","0.64","0.73"
"3041","0.59","0.76"
"3061","0.62","0.75"
"3081","0.59","0.74"
"3101","0.52","0.75"
"3121","0.47","0.73"
"3141","0.52","0.73"
"3161","0.43","0.71"
"3181","0.38","0.70"
"3201","0.37","0.72"
"3221","0.40","0.71"
"3241","0.38","0.62"
"3261","0.31","0.58"
"3281","0.29","0.52"
"3301","0.46","0.60"
"3321","0.51","0.63"
"3341","0.49","0.59"
"3361","0.50","0.66"
"3381","0.54","0.67"
"3401","0.56","0.68"
"3421","0.58","0.71"
"3441","0.58","0.74"
"3461","0.59","0.77"
"3481","0.58","0.77"
"3501","0.58","0.76"
"3521","0.54","0.76"
"3541","0.55","0.79"
"3561","0.61","0.78"
"3581","0.56","0.79"
"3601","0.56","0.78"
"3621","0.57","0.79"
"3641","0.59","0.75"
"3661","0.61","0.74"
"3681","0.62","0.73"
"3701","0.58","0.70"
"3721","0.64","0.68"
"3741","0.62","0.68"
"3761","0.58","0.66"
"3781","0.57","0.66"
"3801","0.55","0.65"
"3821","0.53","0.59"
"3841","0.53","0.59"
"3861","0.49","0.53"
"3881","0.48","0.54"
"3901","0.50","0.53"
"3921","0.48","0.54"
"3941","0.52","0.56"
"3961","0.57","0.61"
"3981","0.59","0.61"
"4001","0.62","0.65"
"4021","0.61","0.70"
"4041","0.53","0.70"
"4061","0.54","0.73"
"4081","0.58","0.75"
"4101","0.52","0.72"
"4121","0.50","0.70"
"4141","0.53","0.69"
"4161","0.51","0.66"
"4181","0.52","0.62"
"4201","0.52","0.64"
"4221","0.52","0.62"
"4241","0.59","0.63"
"4261","0.61","0.64"
"4281","0.55","0.61"
"4301","0.58","0.65"
"4321","0.60","0.68"
"4341","0.56","0.70"
"4361","0.59","0.71"
"4381","0.63","0.76"
"4401","0.62","0.73"
"4421","0.62","0.73"
"4441","0.64","0.75"
"4461","0.63","0.75"
"4481","0.65","0.76"
"4501","0.67","0.78"
"4521","0.65","0.76"
"4541","0.64","0.70"
"4561","0.61","0.68"
"4581","0.61","0.65"
"4601","0.62","0.68"
"4621","0.65","0.71"
"4641","0.62","0.71"
"4661","0.63","0.74"
"4681","0.64","0.77"
"4701","0.66","0.76"
"4721","0.67","0.78"
"4741","0.70","0.84"
"4761","0.71","0.87"
"4781","0.69","0.85"
"4801","0.69","0.85"
"4821","0.68","0.83"
"4841","0.67","0.83"
"4861","0.65","0.81"
"4881","0.64","0.80"
"4901","0.62","0.79"
"4921","0.62","0.78"
"4941","0.62","0.77"
"4961","0.64","0.77"
"4981","0.66","0.80"
"5001","0.67","0.80"
"5021","0.70","0.82"
"5041","0.72","0.81"
"5061","0.72","0.79"
"5081","0.71","0.81"
"5101","0.72","0.80"
"5121","0.73","0.82"
"5141","0.69","0.81"
"5161","0.69","0.82"
"5181","0.67","0.81"
"5201","0.65","0.80"
"5221","0.66","0.80"
"5241","0.67","0.82"
"5261","0.67","0.83"
"5281","0.69","0.83"
"5301","0.70","0.84"
"5321","0.70","0.83"
"5341","0.73","0.84"
"5361","0.72","0.82"
"5381","0.72","0.82"
"5401","0.76","0.83"
"5421","0.71","0.84"
"5441","0.71","0.84"
"5461","0.69","0.84"
"5481","0.69","0.86"
"5501","0.65","0.84"
"5521","0.65","0.85"
"5541","0.64","0.85"
"5561","0.64","0.86"
"5581","0.63","0.82"
"5601","0.59","0.82"
"5621","0.65","0.82"
"5641","0.68","0.83"
"5661","0.70","0.83"
"5681","0.70","0.80"
"5701","0.76","0.83"
"5721","0.77","0.84"
"5741","0.76","0.83"
"5761","0.76","0.82"
"5781","0.75","0.83"
"5801","0.74","0.83"
"5821","0.71","0.82"
"5841","0.67","0.82"
"5861","0.65","0.81"
"5881","0.64","0.82"
"5901","0.62","0.82"
"5921","0.58","0.79"
"5941","0.59","0.78"
"5961","0.61","0.77"
"5981","0.62","0.79"
"6001","0.64","0.77"
"6021","0.59","0.76"
"6041","0.61","0.77"
"6061","0.62","0.77"
"6081","0.62","0.77"
"6101","0.61","0.74"
"6121","0.65","0.77"
"6141","0.66","0.80"
"6161","0.63","0.81"
"6181","0.66","0.82"
"6201","0.65","0.83"
"6221","0.67","0.84"
"6241","0.68","0.84"
"6261","0.72","0.84"
"6281","0.75","0.85"
"6301","0.76","0.86"
"6321","0.74","0.86"
"6341","0.75","0.84"
"6361","0.74","0.82"
"6381","0.76","0.83"
"6401","0.75","0.83"
"6421","0.79","0.85"
"6441","0.77","0.83"
"6461","0.75","0.83"
"6481","0.73","0.83"
"6501","0.71","0.83"
"6521","0.75","0.84"
"6541","0.72","0.85"
"6561","0.73","0.86"
"6581","0.70","0.82"
"6601","0.72","0.81"
"6621","0.70","0.81"
"6641","0.65","0.80"
"6661","0.64","0.80"
"6681","0.60","0.73"
"6701","0.52","0.72"
"6721","0.47","0.68"
"6741","0.49","0.67"
"6761","0.51","0.69"
"6781","0.47","0.74"
"6801","0.45","0.76"
"6821","0.44","0.74"
"6841","0.54","0.77"
"6861","0.51","0.76"
"6881","0.57","0.84"
"6901","0.65","0.85"
"6921","0.63","0.85"
"6941","0.62","0.87"
"6961","0.62","0.86"
"6981","0.63","0.86"
"7001","0.66","0.85"
"7021","0.63","0.85"
"7041","0.59","0.84"
"7061","0.61","0.83"
"7081","0.60","0.82"
"7101","0.61","0.82"
"7121","0.63","0.85"
"7141","0.63","0.83"
"7161","0.65","0.84"
"7181","0.63","0.85"
"7201","0.61","0.85"
"7221","0.64","0.86"
"7241","0.65","0.86"
"7261","0.65","0.87"
"7281","0.65","0.86"
"7301","0.63","0.87"
"7321","0.66","0.87"
"7341","0.66","0.90"
"7361","0.65","0.90"
"7381","0.71","0.87"
"7401","0.72","0.89"
"7421","0.72","0.86"
"7441","0.74","0.87"
"7461","0.77","0.89"
"7481","0.77","0.90"
"7501","0.80","0.89"
"7521","0.77","0.88"
"7541","0.75","0.88"
"7561","0.74","0.87"
"7581","0.73","0.89"
"7601","0.75","0.89"
"7621","0.75","0.91"
"7641","0.73","0.90"
"7661","0.74","0.88"
"7681","0.77","0.87"
"7701","0.75","0.85"
"7721","0.77","0.83"
"7741","0.80","0.81"
"7761","0.82","0.80"
"7781","0.80","0.80"
"7801","0.80","0.79"
"7821","0.81","0.78"
"7841","0.84","0.77"
"7861","0.82","0.78"
"7881","0.79","0.76"
"7901","0.80","0.80"
"7921","0.83","0.84"
"7941","0.80","0.83"
"7961","0.80","0.85"
"7981","0.79","0.85"
"8001","0.78","0.87"
"8021","0.77","0.87"
"8041","0.76","0.87"
"8061","0.75","0.85"
"8081","0.73","0.86"
"8101","0.68","0.85"
"8121","0.67","0.82"
"8141","0.67","0.84"
"8161","0.65","0.83"
"8181","0.67","0.81"
"8201","0.65","0.79"
"8221","0.64","0.78"
"8241","0.64","0.82"
"8261","0.69","0.84"
"8281","0.73","0.84"
"8301","0.77","0.84"
"8321","0.76","0.85"
"8341","0.78","0.86"
"8361","0.77","0.86"
"8381","0.78","0.87"
"8401","0.78","0.89"
"8421","0.80","0.90"
"8441","0.78","0.90"
"8461","0.75","0.90"
"8481","0.75","0.93"
"8501","0.75","0.93"
"8521","0.75","0.93"
"8541","0.70","0.90"
"8561","0.70","0.86"
"8581","0.63","0.83"
"8601","0.56","0.80"
"8621","0.50","0.76"
"8641","0.53","0.72"
"8661","0.50","0.69"
"8681","0.53","0.67"
"8701","0.53","0.64"
"8721","0.54","0.62"
"8741","0.61","0.66"
"8761","0.63","0.71"
"8781","0.65","0.71"
"8801","0.68","0.71"
"8821","0.71","0.73"
"8841","0.69","0.72"
"8861","0.73","0.71"
"8881","0.71","0.72"
"8901","0.72","0.73"
"8921","0.74","0.76"
"8941","0.72","0.76"
"8961","0.72","0.77"
"8981","0.77","0.79"
"9001","0.80","0.81"
"9021","0.80","0.81"
"9041","0.83","0.85"
"9061","0.76","0.83"
"9081","0.77","0.81"
"9101","0.77","0.82"
"9121","0.77","0.82"
"9141","0.79","0.82"
"9161","0.81","0.82"
"9181","0.77","0.83"
"9201","0.78","0.83"
"9221","0.78","0.83"
"9241","0.80","0.83"
"9261","0.82","0.86"
"9281","0.82","0.87"
"9301","0.79","0.85"
"9321","0.76","0.83"
"9341","0.75","0.83"
"9361","0.73","0.83"
"9381","0.73","0.80"
"9401","0.70","0.80"
"9421","0.69","0.80"
"9441","0.66","0.80"
"9461","0.66","0.82"
"9481","0.64","0.79"
"9501","0.67","0.81"
"9521","0.63","0.78"
"9541","0.63","0.78"
"9561","0.66","0.79"
"9581","0.69","0.81"
"9601","0.70","0.82"
"9621","0.67","0.82"
"9641","0.68","0.82"
"9661","0.69","0.81"
"9681","0.67","0.84"
"9701","0.68","0.84"
"9721","0.72","0.85"
"9741","0.70","0.85"
"9761","0.68","0.82"
"9781","0.66","0.80"
"9801","0.69","0.82"
"9821","0.70","0.77"
"9841","0.67","0.77"
"9861","0.71","0.75"
"9881","0.73","0.77"
"9901","0.72","0.79"
"9921","0.72","0.79"
"9941","0.74","0.81"
"9961","0.74","0.83"
"9981","0.76","0.84"
"10001","0.74","0.80"
"10021","0.80","0.85"
"10041","0.83","0.84"
"10061","0.82","0.84"
"10081","0.82","0.84"
"10101","0.80","0.84"
"10121","0.81","0.86"
"10141","0.79","0.85"
"10161","0.81","0.85"
"10181","0.78","0.85"
"10201","0.79","0.88"
"10221","0.77","0.87"
"10241","0.74","0.87"
"10261","0.74","0.89"
"10281","0.74","0.86"
"10301","0.76","0.84"
"10321","0.77","0.85"
"10341","0.77","0.86"
"10361","0.78","0.87"
"10381","0.81","0.88"
"10401","0.81","0.89"
"10421","0.80","0.89"
"10441","0.83","0.91"
"10461","0.83","0.91"
"10481","0.83","0.94"
"10501","0.84","0.94"
"10521","0.82","0.93"
"10541","0.84","0.91"
"10561","0.82","0.91"
"10581","0.82","0.91"
"10601","0.80","0.89"
"10621","0.81","0.88"
"10641","0.80","0.87"
"10661","0.78","0.86"
"10681","0.80","0.82"
"10701","0.81","0.82"
"10721","0.83","0.82"
"10741","0.81","0.82"
"10761","0.83","0.81"
"10781","0.82","0.80"
"10801","0.84","0.81"
"10821","0.82","0.82"
"10841","0.83","0.81"
"10861","0.81","0.80"
"10881","0.80","0.84"
"10901","0.80","0.85"
"10921","0.79","0.85"
"10941","0.75","0.83"
"10961","0.74","0.83"
"10981","0.72","0.82"
"11001","0.69","0.79"
"11021","0.71","0.80"
"11041","0.69","0.81"
"11061","0.71","0.82"
"11081","0.71","0.82"
"11101","0.66","0.82"
"11121","0.67","0.82"
"11141","0.72","0.83"
"11161","0.72","0.83"
"11181","0.75","0.84"
"11201","0.78","0.89"
"11221","0.78","0.87"
"11241","0.80","0.87"
"11261","0.80","0.86"
"11281","0.81","0.86"
"11301","0.82","0.83"
"11321","0.80","0.84"
"11341","0.80","0.85"
"11361","0.79","0.84"
"11381","0.79","0.84"
"11401","0.78","0.84"
"11421","0.81","0.85"
"11441","0.79","0.84"
"11461","0.81","0.85"
"11481","0.79","0.85"
"11501","0.81","0.87"
"11521","0.82","0.86"
"11541","0.81","0.84"
"11561","0.81","0.84"
"11581","0.81","0.84"
"11601","0.79","0.82"
"11621","0.79","0.82"
"11641","0.81","0.83"
"11661","0.82","0.83"
"11681","0.83","0.83"
"11701","0.82","0.82"
"11721","0.81","0.83"
"11741","0.83","0.85"
"11761","0.84","0.84"
"11781","0.82","0.84"
"11801","0.84","0.82"
"11821","0.82","0.81"
"11841","0.77","0.80"
"11861","0.79","0.81"
"11881","0.80","0.80"
"11901","0.80","0.79"
"11921","0.81","0.75"
"11941","0.81","0.75"
"11961","0.81","0.78"
"11981","0.81","0.78"
"12001","0.82","0.82"
"12021","0.82","0.82"
"12041","0.83","0.82"
"12061","0.82","0.81"
"12081","0.80","0.80"
"12101","0.80","0.82"
"12121","0.81","0.85"
"12141","0.81","0.85"
"12161","0.83","0.85"
"12181","0.85","0.85"
"12201","0.85","0.85"
"12221","0.86","0.85"
"12241","0.88","0.87"
"12261","0.90","0.88"
"12281","0.91","0.89"
"12301","0.93","0.89"
"12321","0.94","0.89"
"12341","0.93","0.89"
"12361","0.93","0.89"
"12381","0.92","0.89"
"12401","0.91","0.88"
"12421","0.91","0.88"
"12441","0.90","0.87"
"12461","0.86","0.87"
"12481","0.84","0.85"
"12501","0.81","0.85"
"12521","0.79","0.85"
"12541","0.81","0.85"
"12561","0.79","0.85"
"12581","0.78","0.85"
"12601","0.79","0.85"
"12621","0.77","0.86"
"12641","0.79","0.86"
"12661","0.81","0.85"
"12681","0.83","0.87"
"12701","0.85","0.87"
"12721","0.85","0.85"
"12741","0.80","0.85"
"12761","0.83","0.85"
"12781","0.80","0.83"
"12801","0.79","0.81"
"12821","0.81","0.79"
"12841","0.81","0.77"
"12861","0.84","0.80"
"12881","0.83","0.80"
"12901","0.82","0.80"
"12921","0.82","0.80"
"12941","0.86","0.81"
"12961","0.85","0.81"
"12981","0.88","0.83"
"13001","0.89","0.86"
"13021","0.89","0.87"
"13041","0.87","0.89"
"13061","0.86","0.86"
"13081","0.85","0.86"
"13101","0.85","0.85"
"13121","0.87","0.87"
"13141","0.85","0.89"
"13161","0.85","0.89"
"13181","0.85","0.90"
"13201","0.85","0.88"
"13221","0.85","0.88"
"13241","0.87","0.86"
"13261","0.86","0.86"
"13281","0.87","0.88"
"13301","0.88","0.89"
"13321","0.88","0.90"
"13341","0.89","0.90"
"13361","0.91","0.91"
"13381","0.91","0.91"
"13401","0.90","0.92"
"13421","0.90","0.93"
"13441","0.91","0.96"
"13461","0.92","0.97"
"13481","0.93","0.97"
"13501","0.93","0.96"
"13521","0.91","0.96"
"13541","0.91","0.95"
"13561","0.89","0.93"
"13581","0.86","0.91"
"13601","0.86","0.88"
"13621","0.87","0.88"
"13641","0.86","0.87"
"13661","0.82","0.85"
"13681","0.80","0.85"
"13701","0.78","0.82"
"13721","0.79","0.81"
"13741","0.81","0.82"
"13761","0.82","0.84"
"13781","0.83","0.85"
"13801","0.84","0.86"
"13821","0.84","0.84"
"13841","0.85","0.85"
"13861","0.88","0.85"
"13881","0.89","0.85"
"13901","0.89","0.86"
"13921","0.87","0.86"
"13941","0.85","0.85"
"13961","0.84","0.83"
"13981","0.84","0.82"
"14001","0.85","0.84"
"14021","0.85","0.84"
"14041","0.84","0.84"
"14061","0.83","0.86"
"14081","0.79","0.84"
"14101","0.80","0.86"
"14121","0.81","0.87"
"14141","0.79","0.85"
"14161","0.78","0.84"
"14181","0.76","0.85"
"14201","0.76","0.82"
"14221","0.77","0.83"
"14241","0.74","0.81"
"14261","0.75","0.80"
"14281","0.80","0.82"
"14301","0.81","0.82"
"14321","0.80","0.82"
"14341","0.82","0.86"
"14361","0.85","0.86"
"14381","0.86","0.87"
"14401","0.86","0.90"
"14421","0.85","0.90"
"14441","0.86","0.90"
"14461","0.86","0.91"
"14481","0.87","0.91"
"14501","0.84","0.90"
"14521","0.85","0.89"
"14541","0.84","0.88"
"14561","0.83","0.88"
"14581","0.84","0.89"
"14601","0.83","0.88"
"14621","0.84","0.89"
"14641","0.86","0.90"
"14661","0.86","0.90"
"14681","0.85","0.89"
"14701","0.87","0.88"
"14721","0.90","0.89"
"14741","0.92","0.89"
"14761","0.93","0.89"
"14781","0.93","0.88"
"14801","0.94","0.88"
"14821","0.95","0.87"
"14841","0.96","0.86"
"14861","0.96","0.85"
"14881","0.96","0.86"
"14901","0.95","0.84"
"14921","0.94","0.84"
"14941","0.94","0.84"
"14961","0.95","0.85"
"14981","0.94","0.85"
"15001","0.92","0.86"
"15021","0.93","0.86"
"15041","0.93","0.87"
"15061","0.93","0.88"
"15081","0.94","0.88"
"15101","0.95","0.90"
"15121","0.94","0.90"
"15141","0.94","0.90"
"15161","0.94","0.88"
"15181","0.94","0.87"
"15201","0.96","0.87"
"15221","0.96","0.87"
"15241","0.94","0.87"
"15261","0.93","0.87"
"15281","0.93","0.88"
"15301","0.92","0.87"
"15321","0.93","0.87"
"15341","0.92","0.86"
"15361","0.92","0.89"
"15381","0.92","0.89"
"15401","0.91","0.90"
"15421","0.90","0.90"
"15441","0.91","0.89"
"15461","0.91","0.90"
"15481","0.91","0.89"
"15501","0.90","0.90"
"15521","0.89","0.88"
"15541","0.89","0.89"
"15561","0.86","0.87"
"15581","0.86","0.88"
"15601","0.87","0.88"
"15621","0.84","0.87"
"15641","0.84","0.87"
"15661","0.83","0.87"
"15681","0.82","0.88"
"15701","0.82","0.87"
"15721","0.82","0.86"
"15741","0.82","0.87"
"15761","0.85","0.89"
"15781","0.85","0.89"
"15801","0.85","0.89"
"15821","0.89","0.89"
"15841","0.89","0.90"
"15861","0.90","0.90"
"15881","0.90","0.89"
"15901","0.91","0.89"
"15921","0.93","0.89"
"15941","0.92","0.87"
"15961","0.92","0.87"
"15981","0.90","0.85"
"16001","0.90","0.85"
"16021","0.89","0.86"
"16041","0.88","0.87"
"16061","0.87","0.87"
"16081","0.85","0.86"
"16101","0.85","0.89"
"16121","0.84","0.91"
"16141","0.83","0.92"
"16161","0.82","0.90"
"16181","0.84","0.92"
"16201","0.82","0.92"
"16221","0.81","0.91"
"16241","0.77","0.90"
"16261","0.76","0.90"
"16281","0.77","0.90"
"16301","0.76","0.89"
"16321","0.76","0.88"
"16341","0.78","0.90"
"16361","0.77","0.90"
"16381","0.76","0.89"
"16401","0.77","0.90"
"16421","0.78","0.88"
"16441","0.82","0.87"
"16461","0.84","0.87"
"16481","0.84","0.87"
"16501","0.84","0.88"
"16521","0.85","0.87"
"16541","0.84","0.87"
"16561","0.83","0.87"
"16581","0.84","0.87"
"16601","0.84","0.84"
"16621","0.85","0.84"
"16641","0.85","0.86"
"16661","0.86","0.86"
"16681","0.86","0.85"
"16701","0.86","0.84"
"16721","0.84","0.83"
"16741","0.85","0.83"
"16761","0.87","0.82"
"16781","0.88","0.81"
"16801","0.89","0.83"
"16821","0.89","0.85"
"16841","0.89","0.84"
"16861","0.88","0.83"
"16881","0.89","0.83"
"16901","0.90","0.83"
"16921","0.93","0.84"
"16941","0.92","0.84"
"16961","0.91","0.84"
"16981","0.91","0.87"
"17001","0.90","0.85"
"17021","0.89","0.84"
"17041","0.89","0.82"
"17061","0.89","0.84"
"17081","0.88","0.82"
"17101","0.88","0.81"
"17121","0.90","0.81"
"17141","0.90","0.79"
"17161","0.90","0.80"
"17181","0.89","0.79"
"17201","0.90","0.81"
"17221","0.90","0.81"
"17241","0.91","0.81"
"17261","0.89","0.79"
"17281","0.90","0.80"
"17301","0.88","0.79"
"17321","0.88","0.79"
"17341","0.87","0.80"
"17361","0.88","0.80"
"17381","0.87","0.78"
"17401","0.87","0.76"
"17421","0.88","0.77"
"17441","0.87","0.77"
"17461","0.86","0.76"
"17481","0.85","0.78"
"17501","0.87","0.79"
"17521","0.85","0.77"
"17541","0.86","0.78"
"17561","0.87","0.78"
"17581","0.89","0.79"
"17601","0.88","0.78"
"17621","0.89","0.79"
"17641","0.88","0.79"
"17661","0.90","0.81"
"17681","0.90","0.80"
"17701","0.89","0.81"
"17721","0.90","0.83"
"17741","0.90","0.82"
"17761","0.88","0.80"
"17781","0.87","0.80"
"17801","0.87","0.83"
"17821","0.86","0.82"
"17841","0.87","0.82"
"17861","0.86","0.82"
"17881","0.85","0.82"
"17901","0.86","0.82"
"17921","0.84","0.83"
"17941","0.83","0.83"
"17961","0.84","0.86"
"17981","0.83","0.87"
"18001","0.83","0.87"
"18021","0.83","0.87"
"18041","0.81","0.86"
"18061","0.81","0.86"
"18081","0.83","0.86"
"18101","0.82","0.87"
"18121","0.83","0.85"
"18141","0.85","0.85"
"18161","0.85","0.86"
"18181","0.85","0.86"
"18201","0.86","0.87"
"18221","0.87","0.86"
"18241","0.87","0.86"
"18261","0.87","0.87"
"18281","0.85","0.89"
"18301","0.83","0.89"
"18321","0.81","0.90"
"18341","0.79","0.89"
"18361","0.79","0.87"
"18381","0.78","0.86"
"18401","0.74","0.83"
"18421","0.70","0.83"
"18441","0.74","0.86"
"18461","0.72","0.86"
"18481","0.73","0.85"
"18501","0.76","0.84"
"18521","0.74","0.83"
"18541","0.76","0.84"
"18561","0.76","0.85"
"18581","0.78","0.85"
"18601","0.78","0.87"
"18621","0.80","0.87"
"18641","0.77","0.84"
"18661","0.78","0.82"
"18681","0.76","0.81"
"18701","0.75","0.82"
"18721","0.79","0.82"
"18741","0.79","0.83"
"18761","0.79","0.83"
"18781","0.79","0.82"
"18801","0.81","0.83"
"18821","0.82","0.84"
"18841","0.84","0.84"
"18861","0.86","0.87"
"18881","0.87","0.89"
"18901","0.88","0.88"
"18921","0.87","0.86"
"18941","0.85","0.83"
"18961","0.83","0.82"
"18981","0.85","0.83"
"19001","0.82","0.82"
"19021","0.81","0.81"
"19041","0.82","0.80"
"19061","0.80","0.78"
"19081","0.81","0.78"
"19101","0.80","0.80"
"19121","0.81","0.82"
"19141","0.80","0.81"
"19161","0.80","0.82"
"19181","0.77","0.79"
"19201","0.79","0.79"
"19221","0.78","0.78"
"19241","0.77","0.79"
"19261","0.79","0.81"
"19281","0.80","0.82"
"19301","0.79","0.80"
"19321","0.80","0.80"
"19341","0.81","0.80"
"19361","0.82","0.81"
"19381","0.83","0.84"
"19401","0.83","0.85"
"19421","0.85","0.86"
"19441","0.83","0.86"
"19461","0.84","0.84"
"19481","0.80","0.82"
"19501","0.81","0.82"
"19521","0.81","0.82"
"19541","0.79","0.85"
"19561","0.80","0.86"
"19581","0.80","0.86"
"19601","0.79","0.86"
"19621","0.80","0.86"
"19641","0.78","0.86"
"19661","0.76","0.86"
"19681","0.78","0.88"
"19701","0.78","0.87"
"19721","0.77","0.88"
"19741","0.78","0.87"
"19761","0.79","0.87"
"19781","0.78","0.86"
"19801","0.79","0.86"
"19821","0.78","0.87"
"19841","0.82","0.89"
"19861","0.81","0.87"
"19881","0.79","0.86"
"19901","0.80","0.87"
"19921","0.79","0.85"
"19941","0.77","0.85"
"19961","0.76","0.84"
"19981","0.76","0.84"
"20001","0.76","0.84"
"20021","0.73","0.81"
"20041","0.70","0.80"
"20061","0.69","0.84"
"20081","0.73","0.85"
"20101","0.73","0.84"
"20121","0.75","0.87"
"20141","0.75","0.86"
"20161","0.75","0.87"
"20181","0.74","0.88"
"20201","0.73","0.90"
"20221","0.71","0.93"
"20241","0.73","0.93"
"20261","0.76","0.92"
"20281","0.76","0.92"
"20301","0.76","0.93"
"20321","0.74","0.93"
"20341","0.72","0.93"
"20361","0.69","0.91"
"20381","0.71","0.92"
"20401","0.72","0.91"
"20421","0.77","0.90"
"20441","0.77","0.90"
"20461","0.76","0.90"
"20481","0.75","0.91"
"20501","0.75","0.91"
"20521","0.77","0.91"
"20541","0.79","0.91"
"20561","0.82","0.91"
"20581","0.83","0.91"
"20601","0.85","0.91"
"20621","0.83","0.92"
"20641","0.84","0.92"
"20661","0.83","0.91"
"20681","0.81","0.88"
"20701","0.82","0.88"
"20721","0.79","0.86"
"20741","0.81","0.87"
"20761","0.82","0.88"
"20781","0.81","0.87"
"20801","0.79","0.87"
"20821","0.80","0.86"
"20841","0.80","0.87"
"20861","0.81","0.87"
"20881","0.81","0.90"
"20901","0.81","0.90"
"20921","0.85","0.93"
"20941","0.82","0.91"
"20961","0.81","0.89"
"20981","0.83","0.90"
"21001","0.85","0.91"
"21021","0.84","0.91"
"21041","0.82","0.89"
"21061","0.82","0.89"
"21081","0.82","0.89"
"21101","0.82","0.89"
"21121","0.82","0.88"
"21141","0.86","0.90"
"21161","0.85","0.91"
"21181","0.83","0.91"
"21201","0.83","0.90"
"21221","0.83","0.89"
"21241","0.84","0.90"
"21261","0.82","0.91"
"21281","0.82","0.91"
"21301","0.80","0.91"
"21321","0.80","0.92"
"21341","0.78","0.90"
"21361","0.79","0.91"
"21381","0.80","0.90"
"21401","0.80","0.90"
"21421","0.81","0.91"
"21441","0.76","0.91"
"21461","0.80","0.90"
"21481","0.80","0.87"
"21501","0.82","0.86"
"21521","0.79","0.87"
"21541","0.75","0.86"
"21561","0.71","0.84"
"21581","0.69","0.84"
"21601","0.57","0.81"
"21621","0.51","0.78"
